title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,taxid_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,treatment,time_point_minutes,cultivar,replicate,sample_id
crest30 [NGS247_0011R_RFS38],GSM3539000,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0011R_RFS38,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691488,NONE,Metcamifen,30,Tsukinohikari,2,NGS247_0011R_RFS38
crest30 [NGS247_0012R_RFS39],GSM3539001,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0012R_RFS39,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691487,NONE,Metcamifen,30,Tsukinohikari,3,NGS247_0012R_RFS39
crest90 [NGS247_0013R_RFS40],GSM3539002,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0013R_RFS40,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691486,NONE,Metcamifen,90,Tsukinohikari,1,NGS247_0013R_RFS40
crest90 [NGS247_0014R_RFS41],GSM3539003,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0014R_RFS41,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691485,NONE,Metcamifen,90,Tsukinohikari,2,NGS247_0014R_RFS41
crest90 [NGS247_0015R_RFS42],GSM3539004,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0015R_RFS42,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691484,NONE,Metcamifen,90,Tsukinohikari,3,NGS247_0015R_RFS42
crest240 [NGS247_0016R_RFS43],GSM3539005,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0016R_RFS43,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691483,NONE,Metcamifen,240,Tsukinohikari,1,NGS247_0016R_RFS43
crest240 [NGS247_0017R_RFS44],GSM3539006,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0017R_RFS44,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691482,NONE,Metcamifen,240,Tsukinohikari,2,NGS247_0017R_RFS44
crest240 [NGS247_0018R_RFS45],GSM3539007,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0018R_RFS45,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691481,NONE,Metcamifen,240,Tsukinohikari,3,NGS247_0018R_RFS45
cypro30 [NGS247_0019R_RFS46],GSM3539008,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0019R_RFS46,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691480,NONE,Cyprosulfamide,30,Tsukinohikari,1,NGS247_0019R_RFS46
cypro30 [NGS247_0020R_RFS47],GSM3539009,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0020R_RFS47,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691479,NONE,Cyprosulfamide,30,Tsukinohikari,2,NGS247_0020R_RFS47
cypro30 [NGS247_0021R_RFS48],GSM3539010,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0021R_RFS48,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691478,NONE,Cyprosulfamide,30,Tsukinohikari,3,NGS247_0021R_RFS48
cypro90 [NGS247_0022R_RFS49],GSM3539011,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0022R_RFS49,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691477,NONE,Cyprosulfamide,90,Tsukinohikari,1,NGS247_0022R_RFS49
cypro90 [NGS247_0023R_RFS50],GSM3539012,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0023R_RFS50,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691476,NONE,Cyprosulfamide,90,Tsukinohikari,2,NGS247_0023R_RFS50
cypro90 [NGS247_0024R_RFS51],GSM3539013,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0024R_RFS51,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691475,NONE,Cyprosulfamide,90,Tsukinohikari,3,NGS247_0024R_RFS51
cypro240 [NGS247_0025R_RFS52],GSM3539014,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0025R_RFS52,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691474,NONE,Cyprosulfamide,240,Tsukinohikari,1,NGS247_0025R_RFS52
cypro240 [NGS247_0026R_RFS53],GSM3539015,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0026R_RFS53,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691473,NONE,Cyprosulfamide,240,Tsukinohikari,2,NGS247_0026R_RFS53
